City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,19,7,18,0.7,11,47,33,11
阿克苏地区,109,72,165,2.5,34,20,19,8
阿拉善盟,91,67,97,0.77,14,64,56,12
阿勒泰地区,43,22,42,0.75,13,55,48,8
阿里地区,71,51,78,0.8,33,57,55,21
安康,35,13,27,0.7,19,61,69,7
安庆,67,48,48,0.63,32,67,51,9
鞍山,53,30,54,2.0,43,41,32,64
安顺,22,8,11,0.45,9,54,42,24
安阳,199,149,178,2.06,45,40,18,27
白城,63,27,74,0.3,26,70,59,31
百色,35,24,27,2.0,29,6,9,27
白山,128,97,144,1.65,43,40,21,83
白银,82,60,81,0.95,13,59,51,9
保定,97,72,102,1.6,63,26,12,18
宝鸡,106,79,79,1.58,36,40,36,26
保山,66,43,79,0.6,11,67,21,9
包头,113,84,158,2.94,59,7,8,68
巴彦淖尔,66,41,80,0.97,29,32,31,23
巴中,16,11,15,0.9,20,31,26,4
北海,38,26,29,1.58,24,12,8,9
北京,21,11,19,0.47,23,52,41,6
蚌埠,198,148,168,1.6,40,88,60,43
本溪,255,204,307,5.27,70,18,11,141
毕节,59,41,49,1.45,43,43,11,21
滨州,185,139,183,2.3,83,33,17,60
博州,61,29,70,1.7,43,31,33,13
亳州,204,153,178,1.2,43,71,75,35
沧州,124,93,118,2.17,72,27,12,50
长春,58,40,63,0.76,26,50,25,33
常德,32,22,23,1.2,20,43,39,4
昌都,60,31,68,1.65,19,46,43,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,102,65,151,3.7,43,39,38,8
长沙,36,25,0,1.0,31,13,12,5
常熟,143,109,145,1.23,59,36,36,36
长治,78,57,73,1.78,26,66,56,31
常州,106,79,95,1.53,60,42,34,24
朝阳,74,34,95,1.63,27,54,28,65
潮州,48,33,0,0.85,21,32,31,11
承德,40,18,39,0.58,23,51,26,21
成都,51,33,50,1.04,30,30,21,8
郴州,25,16,24,1.18,26,14,11,8
赤峰,76,55,86,1.77,22,49,27,45
池州,96,71,78,0.9,32,56,46,9
重庆,18,11,17,0.95,32,14,10,6
崇左,17,8,16,1.5,19,18,16,5
楚雄州,64,21,75,0.8,17,64,20,20
滁州,191,143,162,1.23,35,97,57,24
大连,32,16,31,0.63,16,66,42,18
大理州,28,14,9,0.75,10,54,54,3
丹东,55,34,57,0.95,22,57,32,25
大庆,39,23,38,0.73,24,53,36,20
大同,83,61,95,2.37,32,33,18,67
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,41,28,40,0.7,20,58,55,25
达州,44,27,43,0.9,31,42,39,8
德宏州,53,34,53,0.9,44,20,8,22
德阳,38,16,37,0.98,19,29,14,3
德州,88,65,105,1.5,40,57,18,25
定西,91,67,95,1.2,13,50,42,24
迪庆州,58,40,51,0.5,8,86,56,13
东莞,60,42,36,1.08,39,9,6,13
东营,175,132,249,1.73,69,35,14,53
鄂尔多斯,80,58,99,1.42,42,32,17,40
恩施州,38,26,27,1.4,20,13,13,7
鄂州,72,49,92,1.03,32,15,17,6
防城港,29,13,28,1.5,26,13,10,6
佛山,42,28,41,1.25,32,3,3,7
抚顺,192,144,237,1.73,69,38,20,78
阜新,40,16,39,0.48,13,68,50,16
阜阳,181,136,165,1.0,21,100,99,22
